"filename", "language", "C", "Python", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/Python/display_debugging.py", "Python", 0, -29, 0, -16, -45
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/Python/prepare_hImage.py", "Python", 0, -102, -6, -27, -135
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/main.c", "C", -8, 0, 0, -6, -14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/cache_predictor.c", "C", -70, 0, -3, -14, -87
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/constants.c", "C", -20, 0, 0, -8, -28
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/fileio.c", "C", -29, 0, 0, -11, -40
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/generate_image.c", "C", -62, 0, -13, -22, -97
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/image.c", "C", -20, 0, 0, -4, -24
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/image_instance.c", "C", -1, 0, 0, -2, -3
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/linear_algebra.c", "C", -33, 0, 0, -9, -42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/local_differences.c", "C", -89, 0, 0, -16, -105
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/local_sum.c", "C", -72, 0, -2, -8, -82
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/predictor.c", "C", -21, 0, 0, -6, -27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/quantizer.c", "C", -50, 0, 0, -13, -63
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/sample_representative.c", "C", -50, 0, -11, -18, -79
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/weights.c", "C", -48, 0, 0, -10, -58
"Total", "-", -573, -131, -35, -190, -929
